director_name,director_score
William Dear,615216
Todd Phillips,100673776
Joe Berlinger,26421314
Morten Tyldum,91121452
Ruggero Deodato,800000
Mel Smith,226792
Marco Kreuzpaintner,154609
Sara Newens,5858
George Cukor,72000000
Kelly Asbury,73215310
Scott Cooper,37784272
Dave Green,60277788
Mark Tarlov,4394936
Peter Care,1779284
Michael McGowan,795126
Ole Christian Madsen,145109
John Maclean,229094
Anthony Hickox,3902679
Chuck Russell,77135179
Marc F. Adler,511920
Steven Brill,64164066
Hayao Miyazaki,8035078
Chris Buck,400736600
Kate Connor,73678
Todd Graff,18062755
Richard Raymond,143653
Khalid Mohamed,610991
Andrew Douglas,64255243
Ron Maxwell,11820264
Michael Patrick Jann,10561238
Gene Quintano,27979400
Fatih Akin,274385
Frank Marshall,63120914
John A. Davis,80920948
David Moreau,31397498
Julie Taymor,18681693
Neal Brennan,15102127
Jason Friedberg,32200757
Baltasar Kormákur,61769955
Ari Kirschenbaum,25918
Floyd Mutrux,125169
Alfred Hitchcock,32000000
Claude Miller,206400
Michael Rymer,22155472
Noel Marshall,2000000
Bigas Luna,244465
Drew Goddard,42043633
Karey Kirkpatrick,16088610
James Wan,113139457
Danny Leiner,18225165
William Malone,27027052
Travis Cluff,22757819
Gil Kenan,40766351
Robert Wise,122757143
Sam Taylor-Johnson,166147885
Mort Nathan,8586376
John Schultz,31492071
Patrick Read Johnson,16671505
Andrew Bergman,17877202
Justin Kerrigan,104257
Giuseppe Tornatore,85433
Mark Romanek,2412045
William Brent Bell,37372505
Bobby Farrelly,62790962
Gérard Krawczyk,81525
Scott Derrickson,58254186
Chatrichalerm Yukol,454255
David Soren,83024900
Andrew Adamson,229988557
Michel Gondry,38942559
Justin Dillon,215185
David S. Goyer,45891239
Chris Robinson,21160089
Rob Letterman,100287966
Gary Trousdale,92077321
Vera Farmiga,841206
Vincent Paronnaud,4443403
Katja von Garnier,3525161
Paul Weitz,55768137
John H. Lee,31662
Martin Lawrence,34746109
Cameron Crowe,59263235
Kurt Voss,58936
Douglas Aarniokoski,12801190
Andrew Niccol,20191060
Patrick Hughes,39292022
James McTeigue,41535952
Gina Prince-Bythewood,21026981
David LaChapelle,3278611
Randall Wallace,71534831
Hideo Nakata,75888270
John Crowley,38317535
Mark Steven Johnson,67027640
Michael Lehmann,32599584
Jeremy Degruson,4091
Jim Sonzero,20259297
Hilary Brougher,18195
George Armitage,17242965
Steve Buscemi,424653
Alex Craig Mann,1332
James Ponsoldt,6851969
Stewart Hendler,11956207
Vondie Curtis-Hall,4273372
Michael Wadleigh,13300000
Francesca Gregorini,5005
Eric Leighton,137748063
Derek Cianfrance,15542428
Irwin Winkler,25488293
Tim Miller,363024263
Roger Christian,21471685
Marc Schölermann,108662
John Hamburg,53074928
Gary Rogers,1098224
Agnieszka Holland,352786
Sean Penn,19036192
Alfonso Cuarón,143088109
Chris Butler,55994557
Arthur Hiller,15447
Ben Wheatley,26297
Joseph Kosinski,144375103
Roger Nygard,617172
Stanley Kubrick,56715371
Julio DePietro,100503
David Lean,42830500
Karen Moncrieff,240718
George P. Cosmatos,69691679
Olivier Megaton,88590721
Shane Carruth,424760
Hsiao-Hsien Hou,613556
Clint Eastwood,77101269
Tommy O'Haver,11560259
Andy Cadiff,12189514
Kevin Greutert,36670134
Ernie Barbarash,8691
Ryan Murphy,43664454
Whit Stillman,1972871
Eli Craig,223615
Tommy Lee Wallace,14400000
Daryl Wein,76382
Bradley Parker,18112929
Peter Sohn,123070338
Andrew Fleming,15397312
Lloyd Bacon,2300000
Tarsem Singh,55498651
Rick Famuyiwa,21694592
Nicholas Meyer,76894498
Theodore Melfi,44134898
Tate Taylor,30513940
Shana Feste,14576182
Stephen Milburn Anderson,46451
Dean Wright,5669081
George Gallo,1122104
Brian Dannelly,8786715
Jonas Åkerlund,410241
Daniel Espinosa,42514886
William Bindley,508867
George Clooney,45423646
Dennis Dugan,93995391
Alan Taylor,148046026
Ruairi Robinson,23838
Remo,95236
