actor_name,actor_score
Joan Rivers,38119483
Beth Grant,43215859
Bolaji Badejo,78900000
Leslie Hope,24848292
Lateef Crowder,8691
Neil Brown Jr.,92938781
Naderev Sano,4914
Sarah Roemer,66414727
Leland Orser,26668448
Kevin Corrigan,1885615
Dr. Dre,10097096
Jack Guzman,11703287
Bridget Fonda,26971468
Jerry Nelson,27281507
Adam Hicks,35385560
Bill Bailey,26307118
Edie Falco,1259861
Patti LuPone,53316574
Jane Bradbury,1652472
Tiago Riani,37432299
Jasika Nicole,34703228
Richard Cetrone,28064226
Bill Johnson,5747222
Brian Howe,110536
Owain Yeoman,19179969
Olivier Rabourdin,3950029
Taran Killam,43982298
Michael Rispoli,35200830
Drew Carey,128200012
Mark Rendall,19796850
Yayan Ruhian,4105123
Kenneth Mars,102308900
Alicia Witt,38449360
Chris Owen,23106
David Adam Flannery,37440
Kwesi Ameyaw,28747570
Ted de Corsia,7927
Michael Welch,2507106
Gary McDonald,112935
Ronald Pickup,33071558
Jeremy Shada,32774834
Trevor Morgan,66573829
Adrien Dorval,19719930
Martin Clunes,100241322
Alex Kendrick,13919055
Jessica Paré,12831121
Alex Huszar,375723
Shannon Elizabeth,54684791
Tim Gunn,142614158
Harland Williams,11036696
Leleti Khumalo,37479778
Brad Garrett,148598392
Dean Andrews,992238
John Mahoney,6159294
Nimrat Kaur,8811337
Barney Clark,1987287
Anika Noni Rose,70878203
Moises Arias,73807237
Bob Hoskins,27223703
Valerie Tian,31136950
Chad Allen,11703287
Eddie 'Piolin' Sotelo,1754319
Daren Kagasoff,50820940
Jung-min Hwang,770629
Rae'Ven Kelly,39100956
Jason Statham,44479008
Bahare Seddiqi,925402
Gunnar Hansen,32017418
Kelsey Grammer,116982725
Kamel Krifa,30102717
William Ragsdale,25117498
Stephanie March,186336103
Hiroshi Abe,10037390
Timothy West,26288320
Jordi Mollà,45820481
Dianne Wiest,31998221
Bruce Campbell,116735231
Alan Taylor,3713002
Nancy Cartwright,39399750
Kaitlin Olson,12561
Ornella Muti,16684352
Danny Dyer,141080
Shidô Nakamura,13753931
Pelé,144431
Dillon Casey,125014030
Gary Stretch,47307550
Raymond Cruz,54400856
Meg Foster,13008928
Tate Taylor,22466450
Vanity,26628500
Raphael Barker,1984378
Dermot Crowley,34300771
Jean-Hugues Anglade,418953
Chris Bauer,41940296
Michael Jeter,67702743
Richard Johnson,9030581
Joel David Moore,179202593
Jamie Renée Smith,67155742
Olivia Newton-John,181360000
Luenell,128505958
Mark Christopher Lawrence,75367693
Dom DeLuise,51899479
Harry Shearer,41895491
Gloria Stuart,658672302
Brandy Norwood,11627640
Penelope Ann Miller,62692582
Jonathan Jackson,16267290
James Le Gros,7282851
Jessica Szohr,26436092
Joe E. Brown,25000000
Noah Huntley,45063889
Laurence Fox,18663911
Renee Faia,47329
Margarita Levieva,57981889
Brían F. O'Byrne,22349625
Russ Tamblyn,35054909
Akira Terao,48856
Rebecca De Mornay,18662147
Maggie Cheung,101976
Richard Graham,518134
Molly Ephraim,58601614
Jason Patric,32693001
Will Forte,44204193
Matt Malloy,34823435
Mohammad Amir Naji,925402
John Cothran,57504069
Bruno Kirby,108372985
Mahadeo Shivraj,142614158
James Hetfield,3419967
Zoë Bell,56056321
Tygo Gernandt,542860
Johnny Messner,31526393
Louis Lombardi,32591631
Isabelle Huppert,5693488
Sanjay Mishra,55202
Christina Cox,57637485
Meredith Scott Lynn,33598
Trieu Tran,15059
Grace Jones,26400000
Derick Martini,277233
Kate Walsh,28953325
John Gielgud,31803356
Nathaniel Lees,4720371
Ari Graynor,15938896
Fred Armisen,5518918
George Reeves,198655278
Paddy Considine,15780423
Josh Charles,60677367
Deems Taylor,76400000
Christopher Denham,405614
Buzz Aldrin,1134049
D.B. Sweeney,105940247
Joan Chen,10196637
Ayush Mahesh Khedekar,141319195
Quinton Aaron,73779117
Liam Neeson,80045310
Stephanie Vogt,26583369
Lara Jean Chorostecki,123777
Laura Harring,27670759
Melonie Diaz,9780452
Sandrine Kiberlain,206400
Mini Anden,29113588
Samaire Armstrong,20201519
Henry Czerny,4067871
Jim Broadbent,48331459
Chester,128505958
Tom Conti,263365
Kayla Jackson,531806
Heather Bucha,703
Peter Greene,76308057
Chulpan Khamatova,4063859
Patrick Cronin,69800000
Olivia Colman,29959436
Hope Olaide Wilson,51697449
Troy Evans,50419517
Bronagh Gallagher,5600000
Jason London,10557947
Daniel Travis,30500882
Don Johnson,34823339
Wagner Moura,12850
Jake Weary,14673301
Paul Adelstein,17556885
Emmanuelle Riva,225377
Steve Buscemi,72618157
Michael Higgenbottom,2428241
Larry Fessenden,301245
François Bégaudeau,3766595
Seymour Cassel,29810917
Javier Botet,86949197
Bill Lake,4234040
John Howard,399879
Francesc Pagès,22160085
Sunil Shetty,49000
Terumi Matthews,18195
Rick Yune,14993449
Purva Bedi,902835
Donald Pleasence,28283464
Yousef 'Joe' Sweid,155972
Jack Hawkins,16600000
Tina Fey,38899024
Juhi Chawla,54235441
Jensen Ackles,51527787
Michael Dorn,70117571
Erik Per Sullivan,39920085
Mike Vogel,28810365
Eddie Izzard,6482291
Colleen O'Shaughnessey,9628751
Martha MacIsaac,32721635
Kelly Ripa,511920
Tucker Albrizzi,24530513
Mekhi Phifer,54882634
Victoria Learn,4234040
Mariel Hemingway,721
J.D. Evermore,13374087
Oaklee Pendergast,18996755
Colin Stinton,33987757
Frederic Forrest,29200000
Logan Lerman,44722979
Jemima Rooper,1891821
Bessie Love,2808000
Zoe Lister-Jones,76382
Jessica Barden,40247512
India de Beaufort,5998971
Jerry Ferrara,125069696
Conrad Vernon,436471036
Phyllis Diller,1677838
Andrew Airlie,17683670
Wanda Sykes,75729623
Angus T. Jones,104069140
Li Gong,22905428
Taylor Cole,12232937
Trent Ford,7587536
Dominik Castell,5400000
Oliver James,23201242
Brian Johnson,39400560
Venus Schultheis,130174897
Daniela Bianchi,24800000
Kelly LeBrock,14616
Charlotte Rampling,11734906
Constance Wu,405614
Tye Sheridan,47562402
Jennifer Jones,20400000
Felicity Huffman,6416851
Barry Corbin,23366821
Ellen Albertini Dow,14473570
Lauren Gottlieb,66599582
Janet Leigh,26689000
Earl Cameron,63600000
Geraldine McEwan,56068547
Hanaa Bouchaib,5100937
Lindsay Kay Hayward,22770
Denzel Washington,69565355
Chris Miller,267652016
Keri Lynn Pratt,13505121
Tony Alva,1293295
Jennifer Esposito,36117861
Ray Charles,54200000
Emily Meade,19383968
Shirley Jones,6088249
Max Records,77222184
Tim McGraw,29558026
Marley Shelton,7940626
Fadia Nadda,4063
Saffron Burrows,28913153
Vincent Kartheiser,35617599
Ana Imnadze,17149
Ho-Sung Pak,11546543
Samantha Futerman,47111
Jacinda Barrett,31845653
Carrie Henn,85200000
Antonio Arrué,3830
Harry Carey Jr.,148170000
William Baldwin,7362100
Terry Jones,1229197
Michael Harding,1779284
Alanna Ubach,34584412
W. Earl Brown,42966140
Lumi Cavazos,1040879
Cynthia Rhodes,94900000
Johnny Pacar,73678
Amber Valletta,55033376
Joe Don Baker,88655246
Michiel Huisman,23936476
Joseph Mascolo,102922376
Susie Abromeit,1425993
Terry Walters,2277396
Trey Parker,28455048
Simon Callow,52024248
Elden Henson,14018084
Clu Gulager,1400000
Isaiah Washington,14684430
Katherine Parkinson,2775593
Livvy Stubenrauch,400736600
Parry Shen,3799339
Vic Waghorn,3047539
Mark Walters,52885587
Deborah Twiss,48043505
Darren Shahlavi,5132655
Sven Nordin,313436
Shane Brolly,51483949
Heather Sossaman,31537320
Tetsu Watanabe,48856
Ki Hong Lee,92050596
George Chakiris,43650000
Sandra Vergara,18298649
Tuesday Knight,49369900
Margot Kidder,64145215
Larry Mullen Jr.,10353690
Jason Behr,11405825
Angus Sampson,32131483
Gabriel Millman,14060950
Patrick Fischler,44256312
Katharine Isabelle,82163317
Sarah Parish,63224849
Georgina Chapman,60470220
Verne Troyer,114586705
Antonio Sabato Jr.,27052167
Alastair Duncan,5430822
Chen Chang,64340682
Dilshad Vadsaria,37053924
Jack Palance,147957784
Jeffrey Combs,18061907
Raul Julia,73462883
Jean-Pierre Darroussin,611709
Boyd Banks,3478
Charles Martinet,48265581
Nicole Sullivan,67962333
Ione Skye,23335534
Russell Wong,102176165
Polly Walker,78173021
Olivia Williams,42290352
Jacqueline Bisset,819939
Dawn French,75280058
Miguel Ferrer,47642136
Julia Jentsch,617228
Iko Uwais,4105123
Jamie Kennedy,24081802
Bingbing Li,95967035
Q'orianka Kilcher,883887
Ashley Williams,39026186
Shantel VanSanten,66466372
Agata Trzebuchowska,3826455
Bárbara Goenaga,38108
Richard Schiff,47878922
Shaun Evans,4311468
Quentin Tarantino,15972098
John Simm,104257
Maximilian Schell,11880511
Simon Rhee,16033556
Madison Pettis,43428765
Torey Michael Adkins,85463309
Owen Teale,5932060
Texas Battle,9353573
Ginger Rogers,2300000
Aasif Mandvi,56167818
Amanda Kearsan,11529368
Daryl Hannah,7518876
Kim Chan,10945522
Liz Mullane,3049135
Terry Pheto,5176358
Sterling Jerins,27285953
Byron Mann,15156200
John Patrick Amedori,26870825
Ahney Her,148085755
Anders Holm,6105175
Billie Burke,22202612
Fran Drescher,87924864
Geoff Bell,5316384
