id,gross2016
793,2180578
795,17529157
798,2726709
799,596782408
800,6795408
802,22089280
803,25762197
804,13555988
805,63440254
806,13762758
807,9123029
808,130236928
809,77747989
810,53391640
811,364648477
812,166614541
813,118654126
814,33075163
816,3408646
817,0
818,53436177
819,103420308
820,29547108
821,42579090
822,0
823,140015224
824,28245882
825,0
826,57934917
827,144299688
829,37511695
831,3648671
832,38087513
833,37512007
835,488406
836,201656225
837,0
839,0
840,79953237
841,20462873
842,55059430
843,5058769
847,47899610
849,15146464
850,231173331
851,64463384
852,24261889
853,34531702
854,50576807
855,16507712
856,8811941
857,30643067
858,19475061
859,26277
860,248946763
861,56081494
862,211936
863,77803375
864,291
865,6540556
866,16764588
869,2836069
870,4984051
871,14330890
872,31213070
873,16845452
874,2872462
875,0
876,15404643
877,16557239
878,50981477
879,31966801
880,54557348
881,14631641
882,67824871
883,6890
884,64652800
885,102944558
886,143783636
887,11846428
888,121768818
890,70568653
891,64019597
892,45531895
893,7727222
894,9281984
895,0
896,30639601
897,126401869
898,267299478
899,46482744
900,11815045
902,22000
903,2184979
904,0
905,89094328
906,14131298
907,26575342
909,28805
910,2837
912,24368562
913,657871
914,33566959
915,40233131
916,52808696
917,13764056
919,53626
920,98157595
921,54098051
923,17784173
924,77803044
926,0
927,13328936
928,31405591
929,15432858
930,35136691
931,15958525
932,7219578
933,125598
935,76631216
937,366666
938,15325524
939,262984
940,75450019
941,0
943,21258724
944,210871
945,76868150
947,12843
950,196667389
951,110936
952,20297
953,12546752
954,68313873
955,49797288
956,787051
957,61523595
958,33097229
959,18495448
960,1330827
961,126915894
962,0
963,133307022
964,19406406
965,0
966,30254986
967,12659295
968,9913529
969,548934
970,16999
972,39240713
974,0
975,35719025
976,19380883
977,59070780
978,107901246
979,159050332
980,0
981,17794
982,63543939
983,28194
984,19358
985,46411540
986,40846419
988,0
990,5631466
991,64403659
992,57773737
993,86598624
994,57518762
995,250891098
996,7138497
997,190209955
998,15336464
999,765990
1000,12672603
1001,232070522
1002,18881587
1004,9241669
1005,218255720
1006,131501480
